Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,11965,CS2501,38,35,
Fall 2009,Coll of Computer & Info Sci,Fund of Computer Sci 1(Hon),4,4,Olin,Shivers,15836,CS2500,48,35,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Javed,Aslam,16664,CS9990,2,2,
Fall 2009,Coll of Computer & Info Sci,Recitation for CS 1800,0,0,Javed,Aslam,10507,CS1801,27,11,
Fall 2009,Coll of Computer & Info Sci,Readings,4,4,Robert,Futrelle,17110,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Database Design,4,4,Robert,Futrelle,11516,CS3200,60,40,
Fall 2009,Coll of Computer & Info Sci,Security Risk Mgt & Assessment,4,4,Themis,Papageorge,16289,IA5200,20,4,
Fall 2009,Coll of Computer & Info Sci,Found of Information Assurance,4,4,Richard,Moore,12967,IA5010,40,15,
Fall 2009,Coll of Computer & Info Sci,Applied Cryptography,4,4,,,14102,IA5120,40,0,
Fall 2009,Coll of Computer & Info Sci,Information Retrieval,4,4,Virgiliu,Pavlu,15376,CS6200,40,30,
Fall 2009,Coll of Computer & Info Sci,Dissertation,4,4,Karl,Lieberherr,17104,CS9990,1,1,
Fall 2009,Coll of Computer & Info Sci,Network Security,4,4,Guevara,Noubir,15230,CS4740,19,10,
Fall 2009,Coll of Computer & Info Sci,Readings,4,4,Peter,Desnoyers,17096,CS8982,2,2,
Fall 2009,Coll of Computer & Info Sci,Computer System Security,4,4,David,LaPorte,16326,IA5130,30,16,
Fall 2009,Coll of Computer & Info Sci,Network Fundamentals,4,4,Alan,Mislove,10024,CS4700,10,8,
Fall 2009,Bouve College of Hlth Sciences,Intro to Health Informatics,3,3,todd,rothenhaus,12685,HINF5101,18,0,
Fall 2009,Coll of Computer & Info Sci,Grad Co-op Seminar,0,0,Melvin,Simms,16286,CS6949,60,48,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,William,Clinger,16789,CS9996,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Gene,Cooperman,17065,CS9996,1,1,
Fall 2009,Coll of Computer & Info Sci,Principles of Programming Lang,4,4,Eliyahu,Barzilay,12715,CS5400,45,10,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Mitchell,Wand,16788,CS9996,0,1,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,15226,CS2801,19,10,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,11016,CS2501,38,28,
Fall 2009,Coll of Computer & Info Sci,Theory of Computation,4,4,Javed,Aslam,11518,CS3800,60,40,
Fall 2009,Coll of Computer & Info Sci,Recitation for CS 1800,0,0,Javed,Aslam,10510,CS1801,27,10,
Fall 2009,Coll of Computer & Info Sci,Recitation for CS 1800,0,0,Javed,Aslam,10509,CS1801,27,26,
Fall 2009,Coll of Computer & Info Sci,CS & Its Applications,4,4,Patrick,Wang,15419,CS1100,45,45,
Fall 2009,Coll of Computer & Info Sci,Research,2,4,Timothy,Bickmore,17005,CS8984,1,1,
Fall 2009,Coll of Computer & Info Sci,"Ethics, Privacy & Digtl Rights",4,4,Kyle,Courtney,12966,IA5240,40,6,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Kenneth,Baclawski,16518,CS8982,0,0,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Karl,Lieberherr,16787,CS9996,0,2,
Fall 2009,Coll of Computer & Info Sci,Readings,4,4,Karl,Lieberherr,17103,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Guevara,Noubir,17003,CS9996,1,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Guevara,Noubir,16790,CS9996,0,2,
Fall 2009,Coll of Computer & Info Sci,Found/Formal Methd SW Analysis,4,4,,,12665,CS6540,45,0,
Fall 2009,Coll of Computer & Info Sci,Fundamentals - Computer Netwkg,4,4,Alan,Mislove,13908,CS5700,55,13,
Fall 2009,Coll of Computer & Info Sci,Advanced Algorithms,4,4,Emanuele,Viola,13907,CS7800,40,17,
Fall 2009,Coll of Computer & Info Sci,Recitation For CS 5010,0,0,Matthias,Felleisen,13321,CS5011,25,18,
Fall 2009,Coll of Computer & Info Sci,Recitation For CS 5010,0,0,Matthias,Felleisen,14074,CS5011,25,13,
Fall 2009,Coll of Computer & Info Sci,Recitation For CS 5010,0,0,Matthias,Felleisen,12541,CS5011,25,17,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Gene,Cooperman,16994,CS9996,2,2,
Fall 2009,Coll of Computer & Info Sci,Computer Architecture,4,4,Gene,Cooperman,15375,CS5620,40,20,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Ravi,Sundaram,16998,CS8982,1,1,
