Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Javed,Aslam,17017,CS9990,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Mitchell,Wand,17001,CS9990,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Rajmohan,Rajaraman,17184,CS9990,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Ravi,Sundaram,16999,CS9990,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Riccardo,Pucella,16791,CS9990,0,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Timothy,Bickmore,16597,CS9990,0,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Timothy,Bickmore,16997,CS9990,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,4,4,Karl,Lieberherr,17104,CS9990,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Gene,Cooperman,16994,CS9996,2,0,2,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Gene,Cooperman,17000,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Gene,Cooperman,17065,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Guevara,Noubir,16790,CS9996,0,0,2,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Guevara,Noubir,17002,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Guevara,Noubir,17003,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Javed,Aslam,16805,CS9996,2,0,2,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Karl,Lieberherr,16787,CS9996,0,0,2,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Matthias,Felleisen,16299,CS9996,0,0,4,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Matthias,Felleisen,17066,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Mitchell,Wand,16788,CS9996,0,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Olin,Shivers,17025,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Riccardo,Pucella,16663,CS9996,0,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Robert,Futrelle,17183,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Timothy,Bickmore,16993,CS9996,1,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,William,Clinger,16789,CS9996,0,0,1,
Fall 2009,Coll of Computer & Info Sci,"Ethics, Privacy & Digtl Rights",4,4,Kyle,Courtney,12966,IA5240,40,0,6,
Fall 2009,Coll of Computer & Info Sci,Found/Formal Methd SW Analysis,4,4,,,12665,CS6540,45,0,0,
Fall 2009,Coll of Computer & Info Sci,Found of Information Assurance,4,4,Richard,Moore,12967,IA5010,40,0,15,
Fall 2009,Coll of Computer & Info Sci,Fundamentals - Computer Netwkg,4,4,Alan,Mislove,13908,CS5700,55,0,13,
Fall 2009,Coll of Computer & Info Sci,Fundamentals of Computer Sci 1,4,4,David,Van Horn,11541,CS2500,80,19,32,
Fall 2009,Coll of Computer & Info Sci,Fundamentals of Computer Sci 1,4,4,Olin,Shivers,11542,CS2500,100,46,76,
Fall 2009,Coll of Computer & Info Sci,Fundamentals of Computer Sci 2,4,4,Viera,Proulx,10867,CS2510,38,4,27,
Fall 2009,Coll of Computer & Info Sci,Fund of Computer Sci 1(Hon),4,4,Olin,Shivers,15836,CS2500,48,29,35,
Fall 2009,Coll of Computer & Info Sci,Grad Co-op Seminar,0,0,Melvin,Simms,16286,CS6949,60,0,48,
Fall 2009,Coll of Computer & Info Sci,Honors Freshman Seminar 1,1,1,Richard,Rasala,11989,CS2900,40,0,0,
Fall 2009,Coll of Computer & Info Sci,Human Computer Interaction,4,4,Timothy,Bickmore,12970,CS5340,40,1,34,
Fall 2009,Coll of Computer & Info Sci,Information Retrieval,4,4,Virgiliu,Pavlu,15376,CS6200,40,0,30,
