Fall 2009,11963,Undergraduate,13669162
Fall 2009,15836,Undergraduate,14130168
Fall 2009,10026,Undergraduate,13771680
Fall 2009,11783,Undergraduate,14009715
Fall 2009,16998,Graduate,14065466
Fall 2009,11536,Undergraduate,13632869
Fall 2009,11523,Undergraduate,13926437
Fall 2009,11514,Undergraduate,13997894
Fall 2009,11514,Undergraduate,14047039
Fall 2009,11523,Undergraduate,13630926
Fall 2009,11514,Undergraduate,14560802
Fall 2009,11210,Undergraduate,13910855
Fall 2009,17133,Graduate,13652158
Fall 2009,12298,Undergraduate,13633301
Fall 2009,10723,Undergraduate,13875406
Fall 2009,12298,Undergraduate,13626205
Fall 2009,12298,Undergraduate,13654533
Fall 2009,11544,Undergraduate,13649229
Fall 2009,11544,Undergraduate,13617530
Fall 2009,11544,Undergraduate,13601471
Fall 2009,11544,Undergraduate,13641389
Fall 2009,11509,Undergraduate,14554670
Fall 2009,11509,Undergraduate,13681331
Fall 2009,11509,Undergraduate,13743574
Fall 2009,11509,Undergraduate,13765131
Fall 2009,11509,Undergraduate,13996612
Fall 2009,11168,Undergraduate,13772152
Fall 2009,11640,Undergraduate,13762521
Fall 2009,11640,Undergraduate,14527549
Fall 2009,11640,Undergraduate,13771680
Fall 2009,11836,Undergraduate,13655566
Fall 2009,11836,Undergraduate,13632324
Fall 2009,10495,Undergraduate,13632536
Fall 2009,11545,Undergraduate,13632869
Fall 2009,11545,Undergraduate,13641369
Fall 2009,11518,Undergraduate,14012368
Fall 2009,11518,Undergraduate,13998906
Fall 2009,17065,Graduate,14536103
Fall 2009,15375,Graduate,13635531
Fall 2009,13907,Graduate,13664039
Fall 2009,13907,Graduate,13648262
Fall 2009,13907,Graduate,13656009
Fall 2009,13907,Graduate,13951808
Fall 2009,12203,Undergraduate,13662065
Fall 2009,10947,Undergraduate,13911337
Fall 2009,10210,Undergraduate,13621991
Fall 2009,11277,Undergraduate,13764946
Fall 2009,10502,Undergraduate,14045008
Fall 2009,15666,Undergraduate,14522982
Fall 2009,15666,Undergraduate,14554385
Fall 2009,15666,Undergraduate,13765604
Fall 2009,15666,Undergraduate,13680640
Fall 2009,15666,Undergraduate,14558218
Fall 2009,15666,Undergraduate,13997942
Fall 2009,15666,Undergraduate,13772417
Fall 2009,12715,Graduate,14068970
Fall 2009,11267,Undergraduate,13639948
Fall 2009,15814,Undergraduate,13661202
Fall 2009,15814,Undergraduate,13660448
